id,track_name,size_bytes,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,prime_genre
905852173,aa,11337728,0,158845,112,4.5,4,Games
992872278,AbbyLeeDanceSecrets,51111936,4.99,808,17,4,2.5,Entertainment
458813562,AbbyLeeDanceSecrets,71766016,2.99,358,59,3.5,4,Games
586328581,ABCmousecomEarlyLearningAcademy,266735616,0,18749,119,4.5,4.5,Education
300255638,ABCNewsUSWorldNewsLiveVideo,98108416,0,48407,20,3,3.5,News
690802539,ABCNinjaTheAlphabetSlicingGameforKids,18952192,0.99,172,6,4,4.5,Education
986540048,AbCoreSworkitFreeWorkoutTrainer,59845632,0,2901,744,5,5,Health & Fitness
364191819,ABCWatchLiveTVStreamFullEpisodes,85724160,0,78890,449,3,3.5,Entertainment
603092599,ABeautifulMess,63549440,0.99,4251,786,4,4.5,Photo & Video
1074866833,AbemaTV,128454656,0,28,0,4,0,Entertainment
1051326718,ABIGTASmartVPN,41629696,9.99,17,1,4,5,Utilities
661149814,AbindenUrlaubPauschalreisengnstigbuchen,74008576,0,22,0,5,0,Travel
1085908608,AbleBlack,312574976,1.99,876,812,5,5,Games
490152130,ABriefHistoryoftheWorld,143462400,3.99,280,100,4,4,Games
491907493,ABRSMAuralTrainerGrades,329866240,7.99,0,0,0,0,Education
1127440445,ABusyDayforElmoSesameStreetVideoCalls,235222016,0.99,3,3,2.5,2.5,Games
1001725199,Abzorb,57837568,2.99,76,4,3.5,3,Games
933921849,ACallFromSantaVoicemailTextMessages,64863232,0,3823,451,4.5,4.5,Entertainment
924635678,AcapellafromPicPlayPost,134921216,0,2487,23,4,4,Music
300048137,AccuWeatherWeatherforLife,181941248,0,144214,2162,3.5,4,Weather
968591710,ACDSeePro,105525248,6.99,130,7,4.5,4,Photo & Video
694972182,AceFishingWildCatch,224596992,0,65831,30,4.5,4.5,Games
476508724,ACharlieBrownChristmasiMessageStickerPack,121874432,5.99,6420,36,4.5,5,Book
1015059175,AColorStory,39306240,0,2436,629,4.5,5,Photo & Video
489321253,ActionMovieFX,142996480,0,101222,160,4.5,4.5,Entertainment
1089666978,Activity,2604032,2.99,131,13,4.5,4,Health & Fitness
736683061,ADarkRoom,26759168,0.99,29540,2749,4.5,5,Games
691121579,AdBlock,19179520,1.99,1477,57,4,3.5,Utilities
1130398188,AddictivePro,43658240,19.99,12,1,4.5,5,Music
1181582218,AddonCreatorStudioforMinecraftPE,61915136,1.99,214,137,4,4.5,Entertainment
1187279979,AddOnsStudioforMinecraft,22999040,2.99,97,97,3,3,Games
958825016,adidasConfirmed,62336000,0,1434,14,2.5,3,Lifestyle
984594553,AdivnaTAdivinalaspalabras,135886848,0.99,15,0,4.5,0,Games
469337564,AdobeAcrobatReaderViewCreateConvertPDFs,81007616,0,20069,33,4,4.5,Business
911156590,AdobeIllustratorDraw,107823104,0,3215,100,4.5,4.5,Productivity
804177739,AdobePhotoshopLightroomforiPad,146830336,0,2005,2,4,1,Photo & Video
878783582,AdobePhotoshopLightroomforiPhone,143550464,0,1494,9,4,3,Photo & Video
885271158,AdobePhotoshopMixCutoutcombinecreate,202334208,0,5253,87,4.5,4.5,Photo & Video
968433730,AdobeSparkPageCreateStunningWebPages,120110080,0,2528,80,4.5,4.5,Productivity
852555131,AdobeSparkVideoAnimatedVideosinminutes,154832896,0,4302,35,4.5,4.5,Productivity
444553167,ADPMobileSolutions,53805056,0,8324,306,4,3,Business
493912733,AdrianJamesPackAbsWorkout,73519104,2.99,114,15,4.5,4.5,Health & Fitness
546278681,Advanced,114601984,3.99,0,0,0,0,Education
1152267570,AdventCalendarTheGame,48111616,0,5,0,3,0,Games
1167445841,AdventMagnificatCompanion,53123072,1.99,1,1,5,5,Book
927006017,AdVentureCapitalist,292289536,0,181359,11269,4.5,5,Games
1033521131,AdventureCompany,389818368,0,1392,486,4.5,4.5,Games
1063317238,AdventureCube,143679488,0,215,215,4,4,Games
1048629983,AdventuresofMana,492288000,13.99,134,30,4.5,4.5,Games
970021572,AdventuresofMana,966435840,3.99,148,54,4.5,4.5,Games
934484238,AdventureTimeGameWizardDrawYourOwnAdventureTimeGames,1218220032,4.99,848,203,4,4,Games
1060178390,AdventureToFateQuestToTheFutureJRPG,72667136,3.99,175,116,5,5,Games
467738064,AEO|AerieJeansDressesSwimsuitsBralettes,64024576,0,6408,77,4,4.5,Shopping
925056174,AerisPulseWeather,30896128,0.99,81,7,4,5,Weather
